,Country Name,Country Code,Year,Population,Period life expectancy at birth,Infant Mortality,GDP Per Capita,GNP Per Capita,PPP Per Capita,Continent,Log GDP Per Capita,Log GNP Per Capita,Log PPP Per Capita
65,Guinea-Bissau,GNB,1962,589474.0,38.03,,,,,Africa,,,
66,Equatorial Guinea,GNQ,1962,280286.0,43.27,,132.91,,,Africa,4.889686194825268,,
67,Greece,GRC,1962,8448233.0,70.31,37.3,608.48,650.0,,Europe,6.4109566740869,6.476972362889683,
68,Grenada,GRD,1962,96375.0,63.75,53.3,,,,North America,,,
69,Greenland,GRL,1962,35000.0,59.92,,,,,North America,,,
70,Guatemala,GTM,1962,4312044.0,46.49,148.9,265.21,260.0,,North America,5.580524422811891,5.560681631015528,
71,Guam,GUM,1962,73192.0,63.35,,,,,Oceania,,,
72,Guyana,GUY,1962,595461.0,58.3,65.9,327.39,290.0,,South America,5.791159998947036,5.66988092298052,
73,Honduras,HND,1962,2182064.0,48.65,133.7,177.7,170.0,,North America,5.180089584186821,5.135798437050262,
74,Croatia,HRV,1962,4196712.0,67.27,,,,,Europe,,,
75,Haiti,HTI,1962,4001575.0,44.2,188.5,70.45,,,North America,4.254853012891835,,
76,Hungary,HUN,1962,10061734.0,67.94,44.0,,,,Europe,,,
77,Indonesia,IDN,1962,93375850.0,48.14,137.8,,,,Asia,,,
78,Isle of Man,IMN,1962,48688.0,64.4,,,,,Europe,,,
79,India,IND,1962,457283090.0,46.13,147.0,92.2,90.0,,Asia,4.523959678967561,4.499809670330265,
80,Ireland,IRL,1962,2836050.0,69.95,28.1,821.34,860.0,,Europe,6.710942160586941,6.756932389247553,
81,Iraq,IRQ,1962,7413875.0,53.48,123.8,240.65,300.0,,Asia,5.483357900494617,5.703782474656201,
82,Iceland,ISL,1962,182378.0,73.61,16.7,1585.72,1550.0,,Europe,7.368794748557373,7.346010209913293,
83,Israel,ISR,1962,2293000.0,69.33,35.1,1291.14,1540.0,,Asia,7.163282435197497,7.3395376954076745,
84,Italy,ITA,1962,50879450.0,69.22,40.9,1030.16,1000.0,,Europe,6.9374674708546475,6.907755278982137,
85,Jamaica,JAM,1962,1696932.0,64.62,58.9,458.31,,,North America,6.127554533917009,,
86,Jordan,JOR,1962,940554.0,54.63,99.8,,,,Asia,,,
87,Japan,JPN,1962,94933000.0,68.67,25.4,684.57,650.0,,Asia,6.528784344747657,6.476972362889683,
88,Kazakhstan,KAZ,1962,10058928.0,58.39,,,,,Asia,,,
89,Kenya,KEN,1962,8299308.0,50.1,104.1,104.6,100.0,,Africa,4.650147910476571,4.605170185988092,
90,Cambodia,KHM,1962,5697558.0,43.08,,,,,Asia,,,
91,Kiribati,KIR,1962,49538.0,49.04,137.8,,,,Oceania,,,
92,Kuwait,KWT,1962,384995.0,60.98,101.9,4748.39,,,Asia,8.465561491047897,,
93,Lebanon,LBN,1962,1909578.0,64.6,61.0,,,,Asia,,,
94,Liberia,LBR,1962,1197039.0,38.17,201.6,160.28,160.0,,Africa,5.076924313688012,5.075173815233827,
95,Libya,LBY,1962,1621960.0,44.08,171.1,382.08,350.0,,Africa,5.945641803323014,5.857933154483459,
96,Liechtenstein,LIE,1962,17443.0,70.88,,,,,Europe,,,
97,Sri Lanka,LKA,1962,10143754.0,61.63,54.3,141.38,,,Asia,4.951473919229999,,
98,Lesotho,LSO,1962,781814.0,50.31,139.1,53.54,,,Africa,3.9804687354083574,,
99,Lithuania,LTU,1962,2863350.0,69.44,,,,,Europe,,,
100,Luxembourg,LUX,1962,320750.0,68.4,28.7,2331.56,1730.0,,Europe,7.754291502834679,7.455876687491824,
101,Latvia,LVA,1962,2181586.0,69.9,,,,,Europe,,,
102,Morocco,MAR,1962,12253092.0,44.23,145.4,193.65,,,Africa,5.26604110659224,,
103,Monaco,MCO,1962,22078.0,72.44,,,,,Europe,,,
104,Moldova,MDA,1962,2147227.0,60.25,,,,,Europe,,,
105,Madagascar,MDG,1962,5384150.0,44.19,,137.31,130.0,,Africa,4.922226630930883,4.867534450455582,
106,Maldives,MDV,1962,95802.0,39.09,239.5,,,,Asia,,,
